nome_completo,prim_habi,data_nasci,local_nasci,uf_3,data_emissao,validade,doc_identida,org_emissor,uf_4c,cpf,num_regis,categoria,pai,mae,assinatura
Gael Henrique da Costa,C,20/03/2005,Fogaca,ES,16/06/2020,14/06/2030,80.176.550-2,SSP,PE,658.279.143-55,53348550118,C,Rael Nascimento,Eloa Silveira,Gael Henrique da Costa
Augusto Rodrigues,B,06/03/1980,Camara,MT,26/10/2022,23/10/2032,93.191.759-8,IPF,PE,480.721.536-17,03963476522,B,Oliver Borges,Sra. Sabrina Farias,Augusto Rodrigues
Lucas Alves,C,17/08/1991,Teixeira de Minas,AM,10/07/2024,08/07/2034,99.540.673-6,IIRGD,RJ,623.184.590-70,66323438387,C,Andre Pacheco,Srta. Pietra Casa Grande,Lucas Alves
Juan Barros,B,11/07/1971,Rodrigues,RJ,05/09/2021,03/09/2031,59.696.734-9,IIRGD,MT,162.943.758-19,05892394049,B,Marcelo Fonseca,Laura Montenegro,Juan Barros
Lais Azevedo,D,19/04/1961,da Rosa,MG,20/10/2022,17/10/2032,81.598.224-0,IPF,PB,768.593.140-01,36299221500,D,Dr. Caua Martins,Sarah Vasconcelos,Lais Azevedo
Julia Leao,E,25/02/1971,Sa,BA,27/09/2023,24/09/2033,35.151.707-0,DETRAN,GO,817.543.269-19,35169791055,E,Luiz Otavio da Conceicao,Maria Siqueira,Julia Leao
Isaque Camara,C,05/12/1961,Pacheco,PI,01/04/2019,29/03/2029,65.186.543-1,PC,PR,430.821.576-53,12752051885,C,Sr. Jose Miguel da Cruz,Fernanda Gomes,Isaque Camara
Alexia Albuquerque,E,31/07/1961,Castro,MG,10/08/2020,08/08/2030,29.601.849-3,PC,AP,256.348.197-09,46717342725,E,Marcos Vinicius Macedo,Sra. Manuella Aragao,Alexia Albuquerque
Anthony Gabriel Freitas,C,11/04/1959,Novais,RJ,31/07/2023,28/07/2033,30.343.643-9,SSP,CE,673.951.280-95,12502813183,C,Otto Fernandes,Esther Pinto,Anthony Gabriel Freitas
Benjamin Marques,D,27/02/1983,Ribeiro de Minas,SC,31/10/2016,29/10/2026,76.329.853-3,IFP,MT,691.275.438-46,65922856674,D,Paulo Guerra,Nina Fogaca,Benjamin Marques
Davi Miguel Vasconcelos,E,21/02/1979,Camara,AC,05/05/2018,02/05/2028,52.479.182-3,IPF,RR,859.673.240-38,83295688111,E,Arthur Rodrigues,Caroline Pires,Davi Miguel Vasconcelos
Thiago Oliveira,C,15/11/1986,Correia,AL,14/05/2022,11/05/2032,69.235.186-8,SSP,MT,214.370.568-90,70192670552,C,Dr. Henry Gabriel Guerra,Maria Laura Almeida,Thiago Oliveira
Anthony Ribeiro,A,11/05/1987,da Cruz,MG,25/11/2021,23/11/2031,93.647.640-0,DETRAN,PR,702.163.549-43,32031160628,A,Bento Cavalcante,Dra. Vitoria Barbosa,Anthony Ribeiro
Ravi Lucca da Conceicao,E,27/03/1996,Rodrigues de Goias,PA,27/09/2023,24/09/2033,44.536.904-6,DETRAN,RJ,352.064.891-15,54227302745,E,Dr. Enzo Vasconcelos,Manuela Martins,Ravi Lucca da Conceicao
Dra. Sabrina Caldeira,A,12/02/1997,da Mota,TO,26/05/2019,23/05/2029,94.603.863-4,IFP,CE,857.049.631-10,86827109155,A,Anthony Gomes,Larissa Moura,Dra. Sabrina Caldeira
Heloisa da Mota,A,15/10/1998,Teixeira,AC,12/10/2019,09/10/2029,44.849.479-4,PC,ES,192.670.435-52,83234873941,A,Bryan Pimenta,Pietra Borges,Heloisa da Mota
Joao Sousa,A,03/05/1974,Farias,RJ,18/01/2024,15/01/2034,89.519.517-7,DETRAN,TO,651.783.240-80,05436815465,A,Otto Melo,Mariane Freitas,Joao Sousa
Eloa Siqueira,E,10/09/1999,Mendes,SE,08/07/2024,06/07/2034,35.589.771-5,PC,TO,420.518.637-17,15353107804,E,Otto Costela,Julia Guerra,Eloa Siqueira
Luna Leao,C,02/01/1972,Abreu do Sul,PR,26/06/2016,24/06/2026,94.695.473-5,SSP,RN,504.978.123-04,47724114273,C,Anthony Porto,Dra. Sophia Mendonca,Luna Leao
Jade Viana,C,01/06/1953,Silveira da Prata,AC,16/07/2017,14/07/2027,57.566.248-4,IIRGD,SP,549.073.168-01,39324005909,C,Yuri Castro,Alana Cavalcanti,Jade Viana
Isis das Neves,A,29/06/1978,Leao de Silva,CE,14/04/2024,12/04/2034,54.423.839-5,IFP,AM,305.968.174-01,26681509691,A,Carlos Eduardo Alves,Dra. Ana Rezende,Isis das Neves
Sabrina das Neves,D,24/07/1962,Costela do Sul,GO,01/07/2024,29/06/2034,44.704.893-2,SSP,RN,732.016.498-13,29686483584,D,Joao da Cunha,Maya Abreu,Sabrina das Neves
Raquel da Rocha,E,06/03/1963,Vieira,SC,01/07/2016,29/06/2026,79.536.491-1,SSP,RO,415.962.037-06,23897376374,E,Gustavo Fogaca,Dra. Ana Cecilia Costa,Raquel da Rocha
Sr. Guilherme Cunha,D,13/07/1982,Caldeira,PE,30/11/2019,27/11/2029,92.143.111-6,SSP,AP,975.364.281-46,10268664048,D,Dr. Caleb Sales,Aurora Caldeira,Sr. Guilherme Cunha
Maria Sophia Borges,C,19/09/1969,Aragao do Norte,PB,21/11/2020,19/11/2030,63.701.727-7,PC,PA,319.207.486-87,87492348039,C,Sr. Nicolas Vasconcelos,Dra. Manuela Lopes,Maria Sophia Borges
Mariah Jesus,B,13/01/1979,Silveira,SC,02/05/2024,30/04/2034,90.250.750-8,PC,AL,054.816.379-01,52832155770,B,Noah Fogaca,Rebeca Teixeira,Mariah Jesus
Joao Gabriel Rezende,C,28/01/1979,da Rocha de da Cunha,AP,21/08/2021,19/08/2031,82.158.260-0,IPF,AC,128.567.309-30,02153650821,C,Sr. Ryan da Paz,Vitoria Novaes,Joao Gabriel Rezende
Ana Julia Santos,A,26/09/1987,Camargo,RJ,22/06/2017,20/06/2027,43.832.634-8,IPF,SE,936.580.271-77,99425582710,A,Valentim Cirino,Ana Julia Pastor,Ana Julia Santos
Marcela Sousa,E,31/05/1978,Carvalho,RR,02/05/2022,29/04/2032,56.525.606-7,IFP,RR,925.314.708-32,40160368354,E,Lucas Cavalcante,Caroline Fernandes,Marcela Sousa
Pedro Henrique Correia,A,25/12/1959,Castro das Flores,DF,06/08/2018,03/08/2028,30.872.727-0,PC,MS,531.902.684-60,88605454546,A,Nicolas Melo,Kamilly Pinto,Pedro Henrique Correia
Caroline Araujo,E,27/05/1958,Cassiano de Santos,PR,17/07/2020,15/07/2030,53.995.191-4,DETRAN,AM,345.670.819-00,54169411465,E,Mateus Jesus,Agatha Moreira,Caroline Araujo
Daniel Porto,C,23/08/1955,Montenegro,CE,07/07/2018,04/07/2028,13.921.590-7,PC,PR,396.152.408-42,61637983959,C,Yuri Cardoso,Maria Cecilia Garcia,Daniel Porto
Luisa Silveira,E,21/12/1998,Nogueira de Goias,RS,11/07/2022,08/07/2032,27.826.578-6,IIRGD,PR,495.062.187-49,21911547026,E,Vicente Fonseca,Pietra Marques,Luisa Silveira
Lara Costela,C,02/05/1984,Pires Grande,AC,29/03/2020,27/03/2030,12.170.706-4,DETRAN,MA,851.397.620-21,70054323341,C,Joao Gabriel Andrade,Ana Luiza Peixoto,Lara Costela
Caroline Alves,D,30/04/1948,da Cunha da Prata,ES,02/08/2019,30/07/2029,31.922.495-2,DETRAN,CE,980.253.761-68,51373384032,D,Danilo Leao,Manuela Nascimento,Caroline Alves
Jose Miguel Souza,A,26/10/1978,Gomes,PE,01/08/2021,30/07/2031,78.179.192-9,IPF,RR,357.610.924-25,57338582756,A,Matheus Moreira,Eduarda Pereira,Jose Miguel Souza
Helena Garcia,B,22/09/1974,Duarte,RN,08/05/2017,06/05/2027,23.731.592-3,IFP,RS,095.243.178-50,39423378077,B,Dr. Thiago Castro,Maria Laura Jesus,Helena Garcia
Maria Julia da Paz,D,21/05/1958,Vargas,MG,20/08/2024,18/08/2034,83.852.660-8,IIRGD,AM,037.946.128-50,36525498978,D,Isaac Borges,Sophia Goncalves,Maria Julia da Paz
Mateus Pinto,C,08/02/1949,da Conceicao,AM,12/05/2020,10/05/2030,96.368.474-5,PC,RR,970.214.386-13,32987357827,C,Caio Araujo,Maria Luiza Macedo,Mateus Pinto
Lavinia Moraes,E,24/06/1951,Goncalves,BA,18/11/2023,15/11/2033,59.780.330-7,IPF,GO,185.309.462-51,77305699614,E,Sr. Apollo Farias,Sra. Ana Julia Melo,Lavinia Moraes
Vinicius da Paz,E,19/12/1992,das Neves,TO,31/10/2018,28/10/2028,85.459.576-8,SSP,RO,072.891.634-78,91090509530,E,Caio Cunha,Clarice Porto,Vinicius da Paz
Bruno Ramos,A,17/01/1961,Siqueira,AL,08/03/2017,06/03/2027,21.249.411-9,PC,AM,354.726.018-35,47453545486,A,Gustavo Henrique Fogaca,Srta. Carolina Castro,Bruno Ramos
Bernardo Goncalves,C,04/11/1970,Goncalves,RJ,06/03/2016,04/03/2026,30.651.118-4,PC,RN,285.039.741-50,23371263455,C,Daniel Sales,Jade Almeida,Bernardo Goncalves
Maria Julia da Luz,B,04/11/1969,Monteiro,PE,08/12/2020,06/12/2030,20.178.279-7,IIRGD,MA,047.615.289-58,77650198638,B,Benjamin Farias,Larissa Monteiro,Maria Julia da Luz
Emanuel Correia,D,24/06/1978,Fernandes,SC,18/10/2019,15/10/2029,20.909.293-6,IPF,RR,790.138.526-02,10324069319,D,Davi Machado,Giovanna Novais,Emanuel Correia
Bella Pimenta,D,19/06/1998,Borges,RJ,08/10/2021,06/10/2031,17.426.429-7,IPF,TO,702.394.615-25,52845860388,D,Dr. Thomas Monteiro,Maria Julia Sousa,Bella Pimenta
Elisa Ferreira,B,11/04/1975,Farias da Serra,DF,23/05/2018,20/05/2028,37.535.947-8,IPF,TO,197.608.253-68,51638867619,B,Benjamin da Paz,Antonella Garcia,Elisa Ferreira
Caroline Machado,D,27/10/1957,Campos de Pereira,MS,15/05/2022,12/05/2032,51.403.661-9,DETRAN,SP,074.519.382-04,36957037753,D,Lucca Mendonca,Isabella Lima,Caroline Machado
Maria Julia Marques,D,27/12/1947,Almeida da Praia,PA,23/12/2018,20/12/2028,55.694.186-0,IIRGD,RO,586.420.937-65,18186278543,D,Benjamin Garcia,Isis Moreira,Maria Julia Marques
