nome_completo,prim_habi,data_nasci,local_nasci,uf_3,data_emissao,validade,doc_identida,org_emissor,uf_4c,cpf,num_regis,categoria,pai,mae,assinatura
Srta. Liz da Conceicao,E,08/08/1975,das Neves,MT,23/12/2020,21/12/2030,48.247.674-0,IFP,RJ,261.057.834-26,65612691783,E,Vinicius Ferreira,Sra. Clara Marques,Srta. Liz da Conceicao
Caio Nogueira,C,13/05/1967,Aparecida,SC,13/06/2016,11/06/2026,40.770.771-3,IIRGD,PE,602.385.149-51,24712566019,C,Breno Lopes,Luana Dias,Caio Nogueira
Barbara Borges,E,19/02/1964,Pacheco,PA,11/06/2017,09/06/2027,23.769.190-1,IPF,MA,716.408.395-93,98438010452,E,Pedro Miguel Novaes,Dra. Leticia Campos,Barbara Borges
Henrique da Luz,E,06/08/1973,da Conceicao de Goias,AL,15/04/2022,12/04/2032,50.838.947-0,IFP,AL,783.451.290-05,76468712635,E,Arthur Gabriel Barros,Ana Livia Barros,Henrique da Luz
Sra. Zoe Cassiano,C,02/03/1965,Farias do Norte,CE,02/06/2016,31/05/2026,44.218.597-4,IFP,DF,817.620.953-86,70244797475,C,Vitor Casa Grande,Leticia Rios,Sra. Zoe Cassiano
Natalia Duarte,D,15/11/1977,da Cruz,SC,18/11/2015,15/11/2025,54.792.993-0,SSP,AP,065.123.478-62,15473039946,D,Henry Gabriel da Mata,Sabrina Marques,Natalia Duarte
Eloa Farias,D,11/04/1988,Aparecida do Campo,PB,06/01/2018,04/01/2028,35.592.622-5,IIRGD,AM,469.831.027-03,08904020710,D,Guilherme Cavalcanti,Ana Beatriz Ribeiro,Eloa Farias
Marina Vieira,A,18/08/1970,da Luz Paulista,SE,26/07/2017,24/07/2027,93.783.877-7,IIRGD,BA,274.953.608-10,19166042367,A,Luiz Gustavo Martins,Alice Ramos,Marina Vieira
Calebe Ferreira,C,19/01/1990,Silveira de Leao,RS,20/04/2022,17/04/2032,48.655.661-5,SSP,RO,302.479.815-32,04101023062,C,Jose Miguel Sousa,Ana Clara Aragao,Calebe Ferreira
Cecilia Barros,D,03/12/1960,Castro dos Dourados,SP,21/05/2022,18/05/2032,19.820.620-5,DETRAN,AP,164.908.273-87,96918069150,D,Davi da Costa,Luisa Cavalcante,Cecilia Barros
Luiz Felipe da Costa,E,18/12/1996,Vieira de Martins,AC,19/02/2022,17/02/2032,38.974.410-6,IPF,MG,038.215.467-35,17727431969,E,Bernardo Abreu,Brenda Novais,Luiz Felipe da Costa
Davi Peixoto,E,15/11/1962,Rios,PR,13/07/2016,11/07/2026,64.691.716-7,DETRAN,TO,157.982.034-41,20477973329,E,Vitor Hugo Siqueira,Lunna Vargas,Davi Peixoto
Maite Melo,E,23/07/1952,Cunha,MG,09/01/2022,07/01/2032,37.245.374-8,IFP,DF,638.705.924-00,30395699746,E,Ravi Lucca Viana,Barbara Farias,Maite Melo
Srta. Manuela Garcia,B,12/10/1997,Garcia,CE,25/04/2018,22/04/2028,91.451.396-3,SSP,PE,648.035.791-48,44565484154,B,Pietro Moura,Ana Nogueira,Srta. Manuela Garcia
Ryan Monteiro,D,05/12/1990,Souza Paulista,RR,15/02/2019,12/02/2029,39.943.299-1,IPF,PE,635.810.974-00,71696557182,D,Enrico das Neves,Dra. Maria Clara Fogaca,Ryan Monteiro
Ana Rocha,C,26/05/1945,Vargas,RS,17/09/2018,14/09/2028,47.766.233-6,IFP,BA,314.205.687-44,53497671324,C,Benjamin Pires,Jade Novais,Ana Rocha
Sra. Isabel Pimenta,C,17/01/2002,Peixoto da Mata,SC,05/08/2017,03/08/2027,25.806.884-3,SSP,PI,970.684.152-02,33651532600,C,Luiz Gustavo Novais,Juliana Montenegro,Sra. Isabel Pimenta
Brayan Carvalho,E,10/06/1979,Marques Verde,RN,25/06/2018,22/06/2028,46.471.578-2,IPF,AP,896.320.451-06,47901476013,E,Pedro Lucas Novaes,Clarice Jesus,Brayan Carvalho
Hadassa Moura,B,16/04/1949,Souza,AL,08/01/2021,06/01/2031,35.586.230-3,IIRGD,BA,648.235.971-09,88580991900,B,Joao Lucas Cavalcante,Maite Barros,Hadassa Moura
Julia da Cruz,C,10/04/1980,Montenegro Grande,AP,02/09/2019,30/08/2029,56.923.909-3,SSP,AL,842.130.576-07,21275838355,C,Sr. Benicio Vieira,Srta. Fernanda Azevedo,Julia da Cruz
Guilherme Cunha,D,29/08/1970,Almeida,PE,22/04/2024,20/04/2034,42.109.185-4,PC,AM,728.365.904-83,18385316922,D,Enrico da Mata,Lara Novais,Guilherme Cunha
Jose Miguel Rodrigues,A,22/08/2004,Novaes de Goias,ES,19/05/2016,17/05/2026,28.994.262-6,IPF,AC,561.497.032-07,98739859907,A,Jose Miguel da Conceicao,Sra. Heloisa da Costa,Jose Miguel Rodrigues
Liz Aparecida,B,19/05/1951,Mendes,SE,06/05/2024,04/05/2034,26.819.819-8,IIRGD,MA,237.481.690-78,66861973833,B,Sr. Luiz Felipe Vargas,Maysa Pimenta,Liz Aparecida
Melina Lima,A,18/09/1954,Oliveira Verde,AM,10/11/2016,08/11/2026,11.733.136-8,IIRGD,AM,098.374.652-47,70628548254,A,Dr. Francisco Castro,Maite Goncalves,Melina Lima
Milena Casa Grande,C,30/05/1953,Melo Alegre,MA,28/09/2021,26/09/2031,67.809.978-1,IIRGD,GO,836.207.415-90,39536806342,C,Benjamim Araujo,Dra. Luara Sampaio,Milena Casa Grande
Luiz Gustavo Ramos,C,17/02/1969,Casa Grande,BA,02/06/2020,31/05/2030,41.369.193-2,DETRAN,MT,217.358.460-07,51297916602,C,Dr. Diogo Camara,Fernanda Andrade,Luiz Gustavo Ramos
Carolina Borges,E,24/01/1981,Rocha da Prata,AC,03/08/2020,01/08/2030,53.780.937-6,IIRGD,AC,082.459.136-42,10205686319,E,Lucas Cirino,Larissa Vasconcelos,Carolina Borges
Vitoria Vasconcelos,C,04/09/1993,Alves dos Dourados,MS,03/11/2018,31/10/2028,15.378.226-7,IPF,MT,958.273.401-97,42884534726,C,Nicolas Casa Grande,Stephany da Rosa,Vitoria Vasconcelos
Mariane Dias,E,07/04/1961,da Rosa,PI,24/10/2016,22/10/2026,50.874.339-3,SSP,RN,783.690.542-00,50504531215,E,Dr. Joao Miguel Guerra,Natalia Nunes,Mariane Dias
Alicia Araujo,A,25/01/1992,Cardoso do Oeste,PR,31/12/2016,29/12/2026,40.212.851-3,SSP,MA,978.253.061-12,76463670141,A,Luiz Otavio Borges,Luiza da Paz,Alicia Araujo
Joao Gabriel Barros,E,24/03/1953,Brito Verde,MT,17/05/2021,15/05/2031,64.260.897-2,SSP,AC,672.915.804-20,79898848923,E,Mateus da Luz,Natalia Fernandes,Joao Gabriel Barros
Gabriel Rezende,C,28/12/1957,Sales da Mata,AM,10/04/2016,08/04/2026,25.937.361-9,IFP,MA,704.921.653-43,34405372885,C,Brayan Costa,Dra. Ana Luiza Cardoso,Gabriel Rezende
Enrico Novaes,A,14/08/1992,da Conceicao,SC,06/02/2021,04/02/2031,20.365.830-4,DETRAN,MG,956.240.813-24,99826939461,A,Dr. Calebe Rodrigues,Sra. Ester Garcia,Enrico Novaes
Nicolas Ferreira,D,25/05/1947,Vieira,RS,30/11/2023,27/11/2033,66.435.603-7,IPF,PR,416.839.205-89,34524686969,D,Eduardo Teixeira,Larissa Cardoso,Nicolas Ferreira
Levi Novais,C,06/05/1991,Freitas,AM,12/12/2015,09/12/2025,61.227.132-7,IPF,PB,203.487.659-83,65738764511,C,Caue Costa,Sra. Joana Rodrigues,Levi Novais
Maria Luiza da Mota,E,03/10/1946,Montenegro,MT,06/08/2016,04/08/2026,14.402.165-8,SSP,GO,742.109.563-25,57288477839,E,Vicente da Paz,Nicole Lima,Maria Luiza da Mota
Agatha da Mata,C,27/02/1958,Farias,MT,04/08/2017,02/08/2027,21.892.833-8,PC,ES,498.731.052-04,05856172970,C,Dr. Bernardo Lopes,Giovanna Correia,Agatha da Mata
Sr. Diogo Albuquerque,D,30/03/1992,Nogueira Verde,MT,07/02/2019,04/02/2029,67.517.764-6,SSP,PR,540.912.678-58,67444198818,D,Leo Pastor,Cecilia Albuquerque,Sr. Diogo Albuquerque
Thales da Rocha,E,03/04/2007,Carvalho,SP,04/12/2023,01/12/2033,53.655.133-9,IFP,SE,275.304.819-32,28076190800,E,Joaquim Araujo,Joana Cardoso,Thales da Rocha
Luigi da Cunha,E,23/11/1997,da Luz da Mata,MS,07/02/2020,04/02/2030,19.233.127-2,IFP,DF,386.190.574-48,53728967510,E,Dr. Pedro Miguel Lopes,Bella Macedo,Luigi da Cunha
Natalia Santos,C,10/11/1971,Vieira,RR,25/08/2016,23/08/2026,86.446.820-7,IIRGD,PA,910.273.568-77,95320686369,C,Diego Freitas,Esther Azevedo,Natalia Santos
Maria Julia da Conceicao,B,20/03/2000,Rodrigues de Goias,AL,07/04/2016,05/04/2026,37.588.218-3,SSP,BA,891.750.642-94,50680246000,B,Vicente Caldeira,Maria Eduarda Sa,Maria Julia da Conceicao
Davi Lucas das Neves,A,11/01/1994,Pastor do Oeste,AP,13/08/2024,11/08/2034,50.808.740-4,IIRGD,AC,291.805.634-06,19047685433,A,Sr. Rhavi da Cruz,Luna Moraes,Davi Lucas das Neves
Theo Rodrigues,C,22/06/1959,Cunha,PR,01/07/2021,29/06/2031,90.502.599-6,SSP,PA,564.023.718-07,81614984188,C,Ravi da Cruz,Maria Luisa Cavalcante,Theo Rodrigues
Augusto Rezende,E,16/09/1972,Barros,RN,28/09/2021,26/09/2031,70.662.666-1,IPF,BA,576.043.289-38,00473926625,E,Isaque Pacheco,Eloah da Cunha,Augusto Rezende
Bella Brito,B,29/05/1984,Lopes,MA,18/10/2022,15/10/2032,68.401.573-4,IFP,MT,742.639.185-09,80708974830,B,Paulo Siqueira,Maria Luisa Freitas,Bella Brito
Maite Macedo,C,02/12/1990,Andrade do Oeste,ES,02/07/2022,29/06/2032,96.876.565-3,IIRGD,SC,790.418.265-30,75276470555,C,Yan Ribeiro,Julia Moura,Maite Macedo
Juan Sampaio,A,03/04/1946,Costa,SE,28/07/2020,26/07/2030,53.984.904-8,PC,MA,052.984.137-14,72879859025,A,Dr. Vinicius Nogueira,Vitoria Vargas,Juan Sampaio
Dom Jesus,C,05/04/1948,Nascimento,SE,06/03/2018,03/03/2028,21.936.369-3,PC,MS,021.983.475-04,91653649462,C,Jose Fernandes,Raquel Vieira,Dom Jesus
Davi Luiz Sa,B,05/12/1978,Mendes,CE,04/09/2022,01/09/2032,25.720.982-4,SSP,AM,652.390.187-40,79452537994,B,Lucas Gabriel Camara,Valentina Aparecida,Davi Luiz Sa
Mathias Leao,D,21/11/1978,Martins,AM,20/09/2020,18/09/2030,93.292.786-4,PC,CE,423.065.789-74,08445421407,D,Dr. Daniel Sousa,Elisa Montenegro,Mathias Leao
Dr. Thomas da Mota,E,06/08/1960,Casa Grande do Galho,BA,14/01/2024,11/01/2034,79.972.641-9,SSP,PE,381.974.260-31,27809052505,E,Joao Lucas Novaes,Srta. Camila Brito,Dr. Thomas da Mota
Hellena Barros,D,22/01/2000,Aparecida do Oeste,RJ,04/12/2018,01/12/2028,89.513.911-4,IIRGD,AC,893.267.150-86,38530044643,D,Juan da Conceicao,Anna Liz Melo,Hellena Barros
Asafe da Paz,B,26/04/1985,Ramos,MG,01/06/2023,29/05/2033,73.395.631-4,IPF,PI,587.462.391-46,84628327697,B,Murilo da Mota,Agatha Pimenta,Asafe da Paz
Joao Vitor Guerra,C,21/04/1993,Rodrigues da Mata,AM,11/11/2024,09/11/2034,33.894.811-4,IFP,PB,312.456.789-73,40260894596,C,Dom Moraes,Ana Julia Camargo,Joao Vitor Guerra
Eloah Cunha,B,10/02/1986,da Rosa,RJ,23/11/2015,20/11/2025,88.642.226-0,SSP,PI,734.085.921-79,78121047251,B,Vinicius Jesus,Maria Flor Nogueira,Eloah Cunha
Maria Alice da Conceicao,E,03/09/1977,Sousa da Serra,TO,06/06/2021,04/06/2031,59.187.896-2,IFP,DF,536.290.418-33,62158223236,E,Vitor Hugo Moraes,Sra. Mirella Vargas,Maria Alice da Conceicao
Oliver Campos,A,06/04/1965,Nascimento,RN,18/08/2022,15/08/2032,13.393.665-8,IPF,RN,713.492.058-50,01736686022,A,Theo Sa,Caroline da Paz,Oliver Campos
Dr. Carlos Eduardo Abreu,D,16/01/1993,Ribeiro,PB,08/03/2018,05/03/2028,28.465.226-1,PC,RN,705.691.324-52,63742108736,D,Sr. Renan Vasconcelos,Milena Carvalho,Dr. Carlos Eduardo Abreu
Leonardo Peixoto,B,29/07/1949,Alves,AP,11/01/2021,09/01/2031,17.454.445-7,SSP,RS,345.187.926-37,16665835109,B,Mathias Carvalho,Marcela Farias,Leonardo Peixoto
Davi Luiz Vasconcelos,C,28/03/1996,Borges,RO,29/01/2021,27/01/2031,10.464.642-1,SSP,RJ,236.049.185-70,12020871638,C,Murilo Cirino,Larissa Barros,Davi Luiz Vasconcelos
Maria Laura Cavalcante,E,01/08/1954,Carvalho,SC,29/03/2016,27/03/2026,28.934.890-6,DETRAN,MT,467.130.859-20,78015665961,E,Benjamin Rocha,Manuella Fogaca,Maria Laura Cavalcante
Mirella Rodrigues,D,24/02/1969,Goncalves,DF,14/08/2021,12/08/2031,29.586.619-3,IFP,RJ,057.148.962-11,12429974301,D,Gustavo Henrique Sampaio,Caroline Nogueira,Mirella Rodrigues
Joana Garcia,A,24/04/1948,Sa dos Dourados,RS,31/01/2021,29/01/2031,52.437.182-9,IPF,RO,712.958.046-11,26372937627,A,Murilo Campos,Dra. Olivia da Luz,Joana Garcia
Sr. Davi Abreu,A,26/06/2003,da Conceicao,SC,08/01/2021,06/01/2031,52.574.371-3,IFP,SC,918.405.726-20,49598195829,A,Yuri Pacheco,Evelyn Rodrigues,Sr. Davi Abreu
Maria Julia Melo,B,25/05/1996,Nunes de Sales,PB,13/03/2017,11/03/2027,11.256.705-8,PC,CE,346.728.590-29,78987238338,B,Davi Miguel Goncalves,Eduarda Abreu,Maria Julia Melo
Dra. Ana Laura Moraes,D,16/11/1991,Pinto,BA,25/02/2020,22/02/2030,93.590.135-4,IPF,SC,916.243.708-96,60056550235,D,Luiz Otavio Fernandes,Maria Helena Pacheco,Dra. Ana Laura Moraes
Heloisa Siqueira,E,02/08/2007,Pereira,MG,19/11/2018,16/11/2028,56.175.420-5,SSP,CE,734.056.812-35,42458713375,E,Caua Correia,Isabella Moreira,Heloisa Siqueira
Leandro Viana,C,22/06/1953,Campos,AP,26/12/2015,23/12/2025,40.212.296-9,IPF,PA,869.173.425-64,78714814464,C,Igor Montenegro,Srta. Carolina Ramos,Leandro Viana
Davi Vieira,C,23/05/1962,Fonseca da Mata,RO,23/02/2018,21/02/2028,46.853.224-5,IIRGD,BA,053.492.167-16,71448083603,C,Dr. Lucca Cunha,Heloisa Marques,Davi Vieira
Sra. Mariane Rios,B,24/02/1957,da Cunha,RN,30/03/2021,28/03/2031,34.273.801-1,IPF,TO,687.293.504-92,38929035243,B,Daniel Borges,Maysa Araujo,Sra. Mariane Rios
Milena Vieira,E,23/08/1962,Sales Alegre,RJ,04/03/2021,02/03/2031,60.590.771-2,DETRAN,PA,357.648.109-57,60585489683,E,Eduardo Castro,Lais Fogaca,Milena Vieira
Dr. Yuri Cardoso,B,08/09/1978,Rocha Alegre,SC,11/09/2020,09/09/2030,44.586.688-0,IPF,MT,358.261.794-73,48772783579,B,Andre Vieira,Bruna Gomes,Dr. Yuri Cardoso
Srta. Alana Leao,D,13/08/2004,Cassiano do Norte,PA,26/02/2022,24/02/2032,88.307.966-8,DETRAN,SC,215.374.968-91,65794552953,D,Francisco Santos,Sra. Emanuelly Barbosa,Srta. Alana Leao
