nome_arquivo,x_face,y_face,w_face,h_face,porcentagem_preto,max_preto_linha,preto_borda_superior,preto_borda_inferior,cores_pretas,cor1_media,cor2_media,cor3_media,texto_extraido,quantidade_palavras,proibido,plastificar
legiv_cnh_001.jpg,280.0,511.0,272.0,272.0,2.96,14.77,0.03,3.83,0,217.0,222.0,91.33,#adblscaffg FEBERÁTIVANDOBRAS 5E8a57458i8288na ps;8pes CARTEIRA PECTRANsITO MACIONAL DE HABILITAÇIO / DRIER LICENSE F PErMSO 2e 1 NOME E DE CON SOBRENOME- Sra. Sophia Oliveira HAB DATA LOCAL E UF DE NASCIMENTO 09/06/1955 Aparecida de Dias GO 4a DATA EMISSÃO 4b VALIDADE AC 23/02/2016 20/02/2026 4c DOC IDENTIDADE / ÓRG EMISSOR UF 80.610.876-8 DETRANSE 4d CPF 5 Nª REGISTRO 130.482.965-06 26232373872 NACIONALIDADE BRASILEIRO(A) ; FILUAÇAO Gabriel Albuquerque Olivia da Costa 1 Henry 5,72,0,0
legiv_cnh_002.jpg,291.0,561.0,299.0,299.0,4.13,13.12,0.0,11.92,0,220.0,215.67,153.0,"REPÚBLICÀFEDERÁTIVA DO BRASI MINSTERI@ Das IransPortese segretariasnaciona2 02 TRansIT@ CARTEIRA NACIONAL DE HABILITAÇÃO / DRIVER LICENSE | PERM 2e < NOME E SOBRENOVE St, Maro fa Bfo 3DATA LocaLeUfDENAsCwEnTo Leco ce € Matc 19/0e/1932 4 DATA ElSS0] 40 VALIDADE 15/04/2034 ue/04/2024 EASSOR  UF 4c Doc DEMTIDADE/ ÓRG Mecd VS 53,427,262-5 57 REGISTRo 4 08242595631 732.651,824-91 Zciohidade BRASILEIROLA) JoCo Lueos Fires 9 Cpf Flvcko",63,0,0
legiv_cnh_003.jpg,297.0,475.0,206.0,206.0,3.05,44.06,0.06,2.43,0,220.33,217.0,90.33,"RERÚBLICAFEDERÁTIVANDO BRASIZ Mrvis TERIS DOS TRAnSEXRTES } SECRETARLASNACIONASIDESTRaNsITO CARTEIRA NACIONAL DE HABILITAÇÁO / DRIVER LICENSE / PERMISO DE CONDUCCIÓN 2e1 NOME € SOBRENOME HABILITAÇAO Danilo Pereira  DATA, LOCAL € UF DE NASCIMENTO You 13/12/1953 Martins RR 4a DATA EMISSÃO 4b VALIDADE ACC 8 1349/2017DENTIDADE} ORG EMIS827 UF 57.737.477-3 IPF RR 4d CPF 5 Nª REGISTRO 9 CAT HAB Il 081.934.756-66 32780877948 NACIONALIDADE BRASILEIRO(A) 8 FILIAÇAO ; : Lorenzo Marques 2 Maria Alice Casa Grande p 3 Danilo_Oueia",77,0,0
legiv_cnh_004.jpg,287.0,469.0,226.0,226.0,1.48,41.02,0.06,1.3,0,221.33,217.67,90.33,"RERÚBLICAFEDERÁTIVANDO BRASIZ Mrvis TERIS DOS TRAnSEXRTES } SECRETARLASNACIONASIDESTRaNsITO CARTEIRA NACIONAL DE HABILITAÇÁO / DRIVER LICENSE / PERMISO DE CONDUCCIÓN 2e1 NOME E SOBRENOME HABILITAÇAO Sr. Joao Guilherme da Paz  DATA, LOCAL € UF DE NASCIMENTO You 03/04/1969 Moura das Flores 4a DATA EMISSÃO 4b VALIDADE ACC 8 26/10/2022 23/10/2032 Ac DOC IDENTIDADE / ÓRG EMISSOR UF 71.545.798-1 SSP AM 4d CPF 5 Nª REGISTRO 9 CAT HAB 745.281.039-23 09728181497 8 1 1 BRASILEIRO(A) FILIAÇAO ; Vitor Brito 2 Manuela Silveira p 3 Joao builhenme da Hugo Par",87,0,0
legiv_cnh_005.jpg,290.0,468.0,220.0,220.0,7.85,60.86,4.93,7.25,2,149.67,145.33,90.33,REPÚBLICAFEDERÁTIVA DO BRASI; MINISTÉRIO DoSSTRAnSPORTÉS 83 SECRETARIAsnAcionALYDESTRANSITO CARTEIRA NACIONAL DE HABILITAÇÃO / DRIVER LICENSE / PERMISO DE CONDUCCIÓN 2e1 NOME E SoBRENOME- HABILITACKO Yan Ferreirc J DATA [OCALEUFde NAScimento 16/04/1952 Fonseco de Barros Pe 4 DATA ElSSO 46 VALIDADE ACC 1 30/04/2020 22/04/2030 AcDOC IDENTIDADE/ ORG EvSSoR/ UF [49.725.546-6 Iep Ac ; AaCpf SNREGISTRo 9CAL HAB 310.428-596-88 43871920253 @ 1 BRASILEIROIA) flVcao ; Lorenzo da Costa 2 3 Agaihg Bibeiro p 3 Yan_Fonneina,73,0,0
legiv_cnh_006.jpg,291.0,475.0,212.0,212.0,3.86,27.58,2.73,3.41,0,223.33,220.67,160.0,"[REPÚBLICFFEDERATJUNO BRA8E siisnenig possthinseortes 25545taasnadion 23nsuo carteira NACIonAl DE HAGILITACÁO 'DRIVER UcENsE / PERMISO DE CONDUCCIÓN WvêE € SOBRENOME Auac Andre Dlas Zudata {Olef Vf D NaScMMENTO (2/41/1971 Freltos {0 C SDatA Ehtsse) 46 Vuoade 7C€ {02/12/2019 22/41/2029 D 4 ENc DENTIDAPE ; ORG EMsSOR {UF  923224 R_aeasir 7250,487.961-69 72246186523 #aCionalilaDe BRASILEIROIA) 1 (Gaar % P5 Moria Isis; Leao saadae Dias fªe ; SSP Poz",65,0,0
legiv_cnh_007.jpg,287.0,358.0,70.0,70.0,1.48,26.29,0.0,0.01,0,220.33,215.67,164.33,ValiDA Ev {odo oterritorio Mrciomal 2952662900 F2 2 1 16 H 1 1 1 8 2 3 9 7 11 | 1 5 4h1 2 3 2 { 1 2 { 1 1 Ke 1 1 ?,37,0,0
legiv_cnh_008.jpg,261.0,513.0,251.0,251.0,3.82,31.87,0.01,0.4,0,230.33,238.33,92.33,RERÚBLICAYFEDERÁTIVA DOªBRRSIL MINISTERI@ Dos THANSPORGES sECrETariafnACIMNAT DE TPÂnsITI CARTEIRA NACIONAL DE HABILITAÇÁO / DRIVER LICENSE / PERMIS 2e 1 NOME € SOBRENOME- Matheus Marques 3 DATA LOCAL E UF DE NASCIMENTO 06/10/1950 da Costa 4a DATA EMISSO 4b VALIDADE 26/11/2016 24/11/2026 Ac DOC IDENTIDADE / ORG EMISSOR UF 87.700.272-7 IPF SP 4d CPF 5 Nª REGISTRO 312.087.594-50 53646255629 NACIONALIDADE BRASILEIRO(A) FILUÇKO Apollo Oliveira Isabel da Mata 1,67,0,0
legiv_cnh_009.jpg,286.0,462.0,229.0,229.0,4.08,30.47,2.7,2.74,0,223.33,220.67,159.67,"BEPÚBLICAFEDERATIZ DO BRASIL 4isterig Uos (aAnSBoptE 5e9r5r4eliacigies5e 7Ransur8a CARTEIRA NACONAL DE HABILITAÇIO / DRIVER LICENSE / PERMISO De €onDucción Noreesorrenoke Luiz Gustavo Ciríno ,a nauoesueyebenssgiuevio {23/07/1916 fogoco 9ba74 Ekiiseo 88 Vaudaoe Gass2e2^ 11/03/2034 Scdoc identoadr {Oag Emissoriuf 83,872.331-8 SSP RN 1 1059,887.241-02 220853349086710 BCAT 4 MAEONPLIDADE CEASILEIROIA) ; 1 5t Icao Cobriel Toizairo Anionello Carnpos Yustaoe_Cvino 7201 Fu2ps",58,0,0
legiv_cnh_010.jpg,,,,,3.27,17.09,1.91,1.59,0,223.0,220.0,160.67,WLpA EW topg @ TERRTO;IONACMNAL) 2952662900 {: 3 1 | 8 ! 8 1 6 Ii 6 1 g 1 8 5 8 8 ? 1 ; 1 8 1| %k | 2 @ 1,35,0,0
