nome_completo,prim_habi,data_nasci,local_nasci,uf_3,data_emissao,validade,doc_identida,org_emissor,uf_4c,cpf,num_regis,categoria,pai,mae,assinatura
Sophie Machado,C,17/06/1962,Cavalcante,ES,30/09/2018,27/09/2028,92.331.306-7,SSP,GO,218.540.396-60,71508868715,C,Yuri Fernandes,Bianca Vargas,Sophie Machado
Theodoro Brito,E,10/02/1963,da Cruz,SP,08/11/2022,05/11/2032,97.995.265-9,IPF,ES,783.409.612-50,94374324467,E,Eduardo Rocha,Gabrielly Pinto,Theodoro Brito
Anna Liz Vieira,E,14/06/1986,Albuquerque do Norte,MS,13/08/2020,11/08/2030,35.115.172-2,IIRGD,ES,837.150.624-44,91498990708,E,Bryan Leao,Manuela Machado,Anna Liz Vieira
Maria Julia Costela,D,26/08/1993,Rocha,PB,31/10/2022,28/10/2032,99.868.328-8,SSP,RS,602.941.857-20,76202380500,D,Lucca Cunha,Clarice Souza,Maria Julia Costela
Otavio Leao,D,11/09/1985,Camara de Goias,DF,03/01/2021,01/01/2031,28.783.430-0,PC,MT,578.914.602-30,14849418418,D,Thomas Sampaio,Raquel Nunes,Otavio Leao
Theo Camargo,E,23/03/1967,Martins,AL,31/10/2019,28/10/2029,64.558.504-3,DETRAN,PI,340.825.196-70,59619124761,E,Matheus da Rocha,Catarina Silveira,Theo Camargo
Brenda Peixoto,D,01/12/1996,Pastor,RO,01/02/2022,30/01/2032,89.382.672-1,PC,MA,328.675.049-29,40023894219,D,Enzo Gabriel da Rosa,Dra. Isis Montenegro,Brenda Peixoto
Leo Lima,A,18/12/1949,Correia,AC,21/11/2016,19/11/2026,85.645.972-5,IPF,SP,634.805.217-62,83885790710,A,Lucas Porto,Elisa Borges,Leo Lima
Carolina Rezende,C,14/10/1949,Aragao do Norte,ES,21/05/2018,18/05/2028,19.337.313-4,IFP,PR,927.045.831-88,35093170806,C,Matheus da Rosa,Cecilia Peixoto,Carolina Rezende
Davi Lucca Lopes,B,23/11/1953,Pinto de Minas,AP,04/06/2018,01/06/2028,65.785.341-3,SSP,SE,514.062.793-07,53864643716,B,Leo da Rosa,Marina Casa Grande,Davi Lucca Lopes
