nome_arquivo,x_face,y_face,w_face,h_face,porcentagem_preto,max_preto_linha,preto_borda_superior,preto_borda_inferior,cores_pretas,cor1_media,cor2_media,cor3_media,texto_extraido,quantidade_palavras,proibido,plastificar
aug_cnh_001.jpg,873.0,558.0,90.0,90.0,4.3,14.36,3.22,3.33,1,253.0,247.0,42.33,Valida EM Todo TerritÓrio NACIONAL 2952662900 2952662900 ; g 1 1 1 1 8 Vn 5 8 H ; 1 1 HI 2 7F ! 4 :; 1 ; 1 ; 1 HI 2 1 8 RI 1 7 | 8 1 1 1 JI  1 2 1 1 1 1,51,0,0
aug_cnh_002.jpg,176.0,294.0,136.0,136.0,6.43,58.67,18.71,1.3,0,226.67,228.33,235.0,"Reoblica frdiraTiva Doaras1l Fi GRte Carfeira Nacional De Habilttacio / drtver Ecexse / PeRMISO De conouccion Auquuto_Rodrlousi {0s/05/1980 Camora E28/222 [23/10/2032 {5531739 ~BIPf {80,*2133517 05963878522 {auniro | Ollver Borge? Sabrlna Forlas 1 [ 1 MINAS GERAIS",36,0,0
aug_cnh_003.jpg,623.0,212.0,54.0,54.0,7.86,39.65,3.74,4.24,2,238.33,245.67,12.0,"Valida EM Todo 0 TerritÓrio NACIoNAL 2952662900 2952662900 1 1 F 1 I 1 1 2 1 1 9 1 8 ; H :, ; 11 TI | : 2 H  g 1 HH ;: | 1 1 1 1 II | 1 L 5 5 1",47,0,0
aug_cnh_004.jpg,873.0,558.0,92.0,92.0,5.0,17.58,3.5,3.45,2,253.0,247.67,253.67,VaLIDA EM TODo TerritÓrio NACIoNAL 2952662900 2952662900 9 1 1 [ : JIn 1 U 5 7 UI 2 78 1 1 1 : 1 ; R Fi 1 HE 2 1 8 hly] k 1 7 1 ' 1 1 { JI  5 1 1 1,47,0,0
aug_cnh_005.jpg,176.0,296.0,134.0,134.0,8.28,82.25,18.74,2.1,2,212.33,221.67,8.33,"REPÚBLICA FEDERATIVA Do BRASIL ministerio Dos TRANSPORTES BR S ECRETARia Nacional DE TRAnSito carteira nacional de HabilitAçio / DRIVER LICENSE / PERMISO DE ConDUCCIÓN Nomee SobRenoke KABIUTAÇRO Lais Azevedo Daia [ocaleuf denascimenio 19/04/1961 Rosa MG Daiaeuissac VAlidade 20/10/2022 17/10/2032 1 8( DOC IDENIIDADE / ORG EWissor / UF 81.598.224-OIPF AdoPC N"" REGISTRO e 1 768.593.140-01 36299221500 NacohavDADE BRASILEIRO(A) FILIAÇO : 1 Caua Martins 3 Sarah Vasconcelos 1 ais Assivaturadoporiado ACC E Ee OBSERVAÇOES AssinADO DIGITALMENTE DgpariangmioesiADuAl IRasuo LOCAL 4336+407081 | BELO HORIZONTE, MG MG681606770 MINAS GERAIS Jcuedo",87,0,0
aug_cnh_006.jpg,176.0,298.0,132.0,132.0,7.28,81.98,18.49,1.82,2,238.67,247.67,14.67,"REPÚBLICA FEDERATIVA Do BRASIL ministerio Dos TRANSPORTES BR SECRETARia Nacional DE TRAnSito carteira nacional de Habilitaçio / DRIVERLICENSE / PERMISO DE ConDUCCIÓN Nomee SoBReNOME HABILTAÇ^O Julia Leao Daia Localeuf denascimevio 25/02/1971 DaiAevissac VAlidade 27/09/2023 24/09/2033 1 4c DOC [DeNTIDADE ORG EMissor / UF 35.151.707-O DETRAN 4d [PF NªREGISTRO e 817.543.269-19 35169791055 1 NacionAlIDADE BRASILEIRO(A) FiLIAÇAO i 1 Luiz Otavio da Conceicao 3 Maria Siqueira 1 ulia_Yeao Assinatura Do poriADOR ACC Ee OBSERVAÇOES AssinaADO DICITALMENTE DePaRIAMENIO {SIADUAl IRasuo LOCAL 4336+407081 1 BELO HORIZONTE, MG MG681606770 MINAS GERAIS",86,0,0
aug_cnh_007.jpg,173.0,294.0,138.0,138.0,4.54,77.78,17.45,0.32,1,227.67,236.0,164.0,REPÚBLica FedeRaTiva Do BRASiL NisteRio Dos VRanstoris BR Secreiaria Nacional 0 (ransio CaRTEIRANACIONAL DE HABIuTAÇÃO / DRIVERUcENSE / PeRMISO DE Conduccion Ronee Aui Ivoque Comar Daia (om Nascimenio 05/12/1961 Pochoco Fuiliad Vlioan 01/04/2018 29/05/2028 1 Dioeniioaiy /onivisyoa /v 65.186.545 9acre iaiiro Fat Vaa 430.821.576-53 2752051885 Aaimalinai 1 ARASIULIRO(A) 1 [Sr. Jose Miguel do Cruz 3 Femanda Comes 1 JonyueBomore Alnanieaoonikiaix)s Aao Aynanionhiannn Oaaakiameyioisiaoial 0r iravuio 40doadan In 1 OuloioRlonil MG Moasicoor MINAS GERAIS,73,0,0
aug_cnh_008.jpg,180.0,302.0,124.0,124.0,8.09,81.98,18.49,1.82,2,238.33,248.67,13.0,"REPÚBLICA FEDERATIVA Do BRASIL ministerio Dos TRANSPORTES BR SECRETARia Nacional DE TRAnSito carteira nacional de Habilitaçio / DRIVERLICENSE / PERMISO DE ConDUCCIÓN Nomee SoBReNOME HABILTAÇ^O Alexia Albuquerque Daia Localeufdenascimevio 31/07/1961 Castro MG Daiaeuissac 46 Valipade 10/08/2020 08/08/2030 1 DoCioeniDADEhorgenissor(UE 29.601.849-3PC 4d CPF NPEGistpo e 256.348.197-09 46717342725 1 NacionAlIDADE BRASILEIRO(A) FiLIAÇAO 1 1 Marcos Vinicius Macedo Sra_ Manuella Aragao 1 Assinaiurado poriador ACC Ee OBSERVAÇOES AssinaADO DICITALMENTE DePaRIAMENIO {SIADUAl IRasuo LOCAL 4336+407081 1 BELO HORIZONTE, MG MG681606770 MINAS GERAIS",78,0,0
aug_cnh_009.jpg,174.0,293.0,136.0,136.0,5.39,50.68,16.73,1.13,0,225.33,226.67,235.67,cqiheyUraua  hseetwopeanaCan E2 Gres Pt | | MuAs StKais,9,0,0
aug_cnh_010.jpg,177.0,297.0,130.0,130.0,7.28,71.0,23.97,1.44,0,217.33,219.33,220.0,"Refubuca fidfrativa 0o RRasil 4k(o Carteira NaCtonat de Habhlttaçao/ drwer License / permiso de Conduccion Cnoro Moryure [27/02/1903 Ribolrv  de Winus [5170/2016 [22/10/2026 [76.,323,833 Le 1 | [Paulo Gusrra Nina Fovaoa 1 [ | MINAS GERAIS [2124"" - H (83222836872",40,0,0
